# =============================================================================
# Master inventaris Laboratorium Robotika.
#
# PERINGATAN. Baris di bawah masih DATA UJI COBA, bukan aset sungguhan. Isinya
# dibuat menyerupai barang yang lazim ada di laboratorium robotika supaya
# pengurus bisa mencoba penyaringan, pencetakan label, dan peminjaman dengan
# data yang terasa nyata — bukan supaya dipakai sebagai catatan resmi.
#
# Gantilah seluruhnya dengan isi lembar "01 Master Inventaris" pada berkas
# Sistem_Pencatatan_Lab_Robotika_v2.xlsx sebelum dipakai sungguhan. Kolomnya
# sudah disusun sama persis dengan lembar itu.
#
# Semua kode uji coba berawalan CONTOH-. Awalan itulah yang dibaca aplikasi:
# selama masih ada, halaman Inventaris memasang peringatan, dan seeder akan
# MENGHAPUS sisa baris CONTOH- yang tidak lagi tercantum di berkas ini. Jadi
# begitu Anda menempelkan data sebenarnya lalu menjalankan `npm run db:seed`,
# data uji coba ini hilang dengan sendirinya.
#
# kondisi: BAIK | PERLU_DICEK | RUSAK_RINGAN | RUSAK | DALAM_PERBAIKAN |
#          DALAM_PENGEMBANGAN | TERPAKAI | HILANG
# boleh_dipinjam: ya | tidak
# penanggung_jawab_npm: boleh dikosongkan
# =============================================================================
kode_aset,nama,kategori,merk,jumlah,satuan,kondisi,lokasi,tahun_perolehan,penanggung_jawab_npm,boleh_dipinjam,keterangan
CONTOH-021,Modul GPS,Sensor,u-blox NEO-M8N,3,buah,BAIK,Lemari Komponen,2023,22301053029,ya,
CONTOH-022,Kamera FPV dan Pemancar Video,Sensor,Caddx Ratel 2,2,set,BAIK,Rak VTOL,2024,22301053029,ya,
CONTOH-023,Sensor Ultrasonik HC-SR04,Sensor,,12,buah,TERPAKAI,Lemari Komponen,2022,,ya,Sebagian sudah terpasang pada purwarupa
CONTOH-024,Servo MG996R,Aktuator,TowerPro,10,buah,BAIK,Lemari Komponen,2024,22401053016,ya,
CONTOH-025,Motor Brushless 2216 920KV,Aktuator,SunnySky,8,buah,BAIK,Rak VTOL,2024,22301053029,ya,
CONTOH-026,ESC 30A,Aktuator,Hobbywing SkyWalker,8,buah,RUSAK_RINGAN,Rak VTOL,2023,22301053029,ya,Dua unit gosong saat uji terbang
CONTOH-027,Motor DC Gearbox JGB37,Aktuator,,6,buah,BAIK,Lemari Komponen,2023,22401053016,ya,
CONTOH-028,Baterai LiPo 4S 5000mAh,Catu Daya,Tattu,6,buah,BAIK,Lemari Baterai,2024,22301053029,tidak,Wajib disimpan di lemari tahan api; tidak dibawa keluar lab
CONTOH-029,Pengisi Daya Baterai LiPo,Catu Daya,SkyRC iMAX B6AC,2,unit,BAIK,Lemari Baterai,2023,22301053029,ya,
CONTOH-030,Rangka Drone VTOL,Wahana,,1,set,DALAM_PENGEMBANGAN,Rak VTOL,2025,22301053029,tidak,Sedang dirakit Squad KRTI VTOL
CONTOH-031,Wahana ASV Katamaran,Wahana,,1,set,DALAM_PENGEMBANGAN,Rak KKI,2025,22201053012,tidak,Sedang dirakit Squad KKI
CONTOH-032,Robot Beroda 4WD,Wahana,,2,unit,BAIK,Rak Ground,2024,22401053016,ya,
CONTOH-033,Rangka Drone Racing 5 inci,Wahana,iFlight Nazgul5,1,unit,RUSAK,Rak VTOL,2023,22301053029,tidak,Patah saat jatuh; menunggu keputusan penghapusan
CONTOH-034,Anemometer Digital,Alat Ukur,,1,unit,HILANG,Rak A2,2022,22301053006,tidak,Tidak ditemukan sejak inventarisasi Juni
CONTOH-035,Kacamata Pengaman,K3,,6,buah,BAIK,Bengkel,2024,22301053005,ya,
CONTOH-036,APAR 3 kg,K3,,2,unit,BAIK,Dekat Pintu Keluar,2023,22301053005,tidak,Perlengkapan keselamatan — tidak dipinjamkan
